Species,Longitude,Latitude
sp_1,-57.5,-25.083333
sp_1,-58.333333,-24.25
sp_1,-63.4333,-20.2167
sp_1,-63.3989,-21.2164
sp_1,-63.3075,-21.29305
sp_1,-62.3,-18.76666
sp_1,-63.6161,-19.75
sp_1,-63.6041667,-21.2969444
sp_1,-63.2769445,-20.3322223
sp_1,-57.876389,-21.996667
sp_1,-63.39888,-21.21638
sp_1,-63.25,-20.33333
sp_1,-62.33333,-19.41666
sp_1,-62.23305,-18.76555
sp_1,-63.5,-20.66667
sp_1,-63.5161,-20.1219
sp_1,-63.5661111,-20.0169445
sp_1,-63.3075,-21.293056
sp_1,-63.1638889,-21.3686111
sp_1,-63.398889,-21.216389
sp_1,-63.4861,-20.1372
sp_1,-63.6791667,-21.45
sp_1,-62.5341666,-19.3844444
sp_1,-57.883333,-21.65
sp_1,-57.866667,-21.7
sp_1,-62.19916,-19.90194
sp_1,-63.2,-19.76666
sp_1,-63,-20.25
sp_1,-63.3,-23.85
sp_1,-64.082222,-20.990278
sp_1,-65.6,-25.617
sp_1,-63.679167,-21.45
sp_1,-63.163889,-21.368611
sp_1,-63.276944,-20.332222
sp_1,-63.604167,-21.296944
sp_1,-63.398889,-21.216389
sp_1,-63.3075,-21.29305
sp_1,-63.3989,-21.2164
sp_1,-63.566111,-20.016944
sp_1,-63.4861,-20.1372
sp_1,-58.0875,-26.5675
sp_1,-58.181389,-25.979444
sp_1,-58.18138,-25.97944
sp_1,-58.570833,-24.272222
sp_1,-58.563056,-24.016667
sp_1,-58.56305,-24.00027
sp_1,-58.563056,-24.020556
sp_1,-58.55,-24.01666
sp_1,-59.95388,-22.05416
sp_1,-59.88,-20.629722
sp_1,-58.95,-26.18333
sp_1,-59.75777,-19.98416
sp_1,-62.19916,-19.90194
sp_1,-64.98333,-24.33333
sp_1,-62.004715,-19.002589
sp_1,-62.534167,-19.384444
sp_1,-59.11666,-27.35
sp_1,-64.91666,-25.4
sp_1,-59.75888,-20.25638
sp_1,-57.943333,-23.583056
sp_1,-64.78333,-28.36666
sp_1,-64.81666,-28.23333
sp_1,-63.25,-20.33333
sp_1,-61.65,-21.21666
sp_1,-61.2,-21.53333
sp_1,-61.65,-21.2
sp_1,-61.73333,-21.05
sp_1,-60.60916,-22.02777
sp_1,-57.88277,-25.05638
sp_1,-60.78333,-24.56666
sp_1,-57.73333,-25.73333
sp_1,-59.83333,-22.08333
sp_1,-61.68333,-21.8
sp_1,-63,-20.41666
sp_1,-62.23305,-18.76555
